"Gene","ModuleColor"
"LIMA1.11543.84.3",2
"PHF3.11544.39.3",3
"CYGB.11546.7.3",0
"MUSK.11547.84.3",0
"CDC25A.11548.84.3",0
"ISL1.11549.6.3",0
"HMG20B.11551.16.3",0
"ARFGAP1.11556.19.3",7
"SMURF1.11557.3.3",0
"NFATC4.11560.76.3",0
"POLE2.11562.9.3",0
"SYTL4.11563.51.3",2
"ZNF23.11565.58.3",0
"KRT72.11566.48.3",0
"ZNF10.11567.23.3",3
"FKBP1B.11568.2.3",1
"BCAP29.11570.94.3",1
"KLRC3.11571.75.3",3
"DNM2.11572.4.3",1
"SRSF6.11573.3.3",0
"DNAJA2.11582.63.3",1
"MGA.11587.5.3",1
"RBM23.11590.5.3",3
"PRC1.11591.43.3",0
"ELAVL1.11592.1.3",1
"CXCL9.11593.21.3",0
"ZNF75D.11596.47.3",0
"DHX8.11601.26.3",3
"DNAJB6.11606.22.3",1
"BRD1.11607.15.3",3
"MAP1LC3B.11608.5.3",1
"ERH.11614.29.3",3
"DAPP1.11615.16.3",1
"HSF1.11616.9.3",3
"ITGAL.11617.1.3",0
"MYB.11618.83.3",1
"UBE2V1.11626.7.3",1
"AHSA1.11633.89.3",1
"RGS10.11634.32.3",1
"TAGLN2.11636.33.3",1
"B3GALT2.11638.42.3",0
"DTX3L.11643.73.3",1
"P4HA1.11645.9.3",3
"CHST9.11646.4.3",0
"FZD10.11647.6.3",2
"SMAP1.11649.3.3",1
"SLC6A9.11653.69.3",0
"NRSN1.11654.77.3",0
"EVL.11656.110.3",2
"SOCS7.11657.86.3",0
"CLINT1.11659.31.3",1
"NLRP1.11661.11.3",0
"ARFGAP2.11664.32.3",1
"RGS8.11666.72.3",2
"TNS2.11667.29.3",0
"SLCO5A1.11669.39.3",0
"BRPF1.11671.19.3",2
"KIF16B.11672.17.3",2
"ZDHHC14.11677.17.3",0
"GJD2.11678.105.3",0
"AGFG1.11681.8.3",1
"TXNIP.11682.7.3",2
"GGA3.11683.19.3",1
"ANAPC7.11690.47.3",0
"SHC4.11692.21.3",3
"CRABP2.11696.7.3",4
"PTP4A2.11699.16.3",1
"LCN1.11708.2.3",0
"CPT1B.11709.29.3",2
