"Gene","ModuleColor"
"WFDC2.11388.75.3",2
"CA8.11390.24.3",1
"MVK.11391.69.3",1
"PTK2B.11395.5.3",1
"DNAI1.11396.39.3",1
"RNF146.11401.181.3",0
"KMT2C.11402.17.3",0
"CARD9.11405.150.3",1
"ACAD8.11406.82.3",1
"PLSCR3.11407.57.3",1
"FBXL4.11416.23.3",1
"EHD4.11421.10.3",1
"DLX3.11422.2.3",1
"FAH.11424.4.3",2
"RUFY1.11425.31.3",1
"PDLIM1.11428.31.3",1
"HNRNPC.11429.80.3",1
"DTX1.11430.49.3",1
"RECQL.11431.235.3",1
"PQBP1.11432.11.3",5
"TCTN2.11433.11.3",1
"INA.11436.6.3",1
"DNAJB2.11438.6.3",1
"RHPN2.11439.88.3",1
"SOCS3.11440.58.3",0
"PYGL.11441.11.3",0
"DNER.11442.1.3",1
"POLR3F.11444.49.3",1
"GALK1.11448.34.3",1
"CAPZA1.11449.22.3",1
"EIF3G.11454.87.3",1
"MAGEB10.11456.2.3",1
"GALE.11457.53.3",1
"PCBP1.11458.30.3",1
"ELL.11459.81.3",1
"RBFOX2.11462.8.3",0
"RELB.11464.9.3",1
"GPR135.11465.4.3",1
"RBM19.11468.15.3",1
"VPS4A.11476.43.3",2
"ALDH3A1.11480.1.3",1
"HAVCR2.11481.25.3",1
"ZNF174.11486.26.3",1
"UBL4A.11490.42.3",2
"DYNLL2.11493.169.3",2
"ELL2.11494.4.3",1
"APOL1.11510.31.3",4
"CD38.11513.92.3",1
"CD59.11514.196.3",2
"FABP1.11516.7.3",1
"HMBS.11530.37.3",3
"VSIR.11531.24.3",1
"LRIT3.11534.6.3",1
"MYSM1.11536.9.3",3
"TFR2.11537.12.3",1
"MLYCD.11538.216.3",1
"ATP5MF.11539.4.3",1
"FOXO3.11540.37.3",1
"TMEM230.11542.11.3",1
"LIMA1.11543.84.3",1
"PHF3.11544.39.3",1
"CYGB.11546.7.3",2
"MUSK.11547.84.3",0
"CDC25A.11548.84.3",1
"ISL1.11549.6.3",1
"HMG20B.11551.16.3",1
"ARFGAP1.11556.19.3",1
"SMURF1.11557.3.3",1
"NFATC4.11560.76.3",2
"POLE2.11562.9.3",1
"SYTL4.11563.51.3",1
"ZNF23.11565.58.3",1
"KRT72.11566.48.3",1
"ZNF10.11567.23.3",1
"FKBP1B.11568.2.3",1
"BCAP29.11570.94.3",1
"KLRC3.11571.75.3",1
"DNM2.11572.4.3",2
"SRSF6.11573.3.3",1
"DNAJA2.11582.63.3",0
"MGA.11587.5.3",1
"RBM23.11590.5.3",1
"PRC1.11591.43.3",1
"ELAVL1.11592.1.3",1
"CXCL9.11593.21.3",1
"ZNF75D.11596.47.3",1
"DHX8.11601.26.3",2
"DNAJB6.11606.22.3",1
"BRD1.11607.15.3",1
"MAP1LC3B.11608.5.3",2
"ERH.11614.29.3",3
"DAPP1.11615.16.3",3
"HSF1.11616.9.3",0
"ITGAL.11617.1.3",1
"MYB.11618.83.3",1
"UBE2V1.11626.7.3",2
"AHSA1.11633.89.3",1
"RGS10.11634.32.3",2
"TAGLN2.11636.33.3",1
"B3GALT2.11638.42.3",2
"DTX3L.11643.73.3",2
"P4HA1.11645.9.3",1
"CHST9.11646.4.3",0
"FZD10.11647.6.3",1
"SMAP1.11649.3.3",1
"SLC6A9.11653.69.3",1
"NRSN1.11654.77.3",0
"EVL.11656.110.3",1
"SOCS7.11657.86.3",1
"CLINT1.11659.31.3",2
"NLRP1.11661.11.3",1
"ARFGAP2.11664.32.3",1
"RGS8.11666.72.3",1
"TNS2.11667.29.3",1
"SLCO5A1.11669.39.3",2
"BRPF1.11671.19.3",1
"KIF16B.11672.17.3",1
"ZDHHC14.11677.17.3",1
"GJD2.11678.105.3",0
"AGFG1.11681.8.3",1
"TXNIP.11682.7.3",1
"GGA3.11683.19.3",1
"ANAPC7.11690.47.3",1
"SHC4.11692.21.3",1
"CRABP2.11696.7.3",3
"PTP4A2.11699.16.3",1
"LCN1.11708.2.3",0
"CPT1B.11709.29.3",1
"POU2F1.11715.1.3",1
"LRIT2.11716.28.3",1
"JAK2.11816.84.3",1
"PPARGC1A.11825.27.3",0
"RORC.11827.7.3",1
"TNFRSF18.11837.7.3",1
"PIEZO1.11838.130.3",0
"PCDHGB1.11872.9.3",1
"DLX4.11910.27.3",1
"LRRC4B.11911.13.3",2
"AAGAB.11926.23.3",1
"INTS3.11934.9.3",1
"IGDCC3.11952.1.3",1
"ARHGAP1.11955.1.3",1
"CRABP1.11967.23.3",1
"S100A2.11969.5.3",1
"PTPRH.11988.24.3",1
"EMC1.11989.35.3",1
"TJP1.12001.7.3",1
"CD7.12008.3.3",1
"PTS.12014.19.3",1
"CBL.12016.60.3",1
"TPK1.12018.84.3",1
"BPGM.12020.39.3",3
"SMAD4.12022.12.3",1
"DES.12030.82.3",1
"BUB1.12033.3.3",1
"CAP1.12034.28.3",1
"HSPA1L.12041.33.3",1
"TARDBP.12046.51.3",0
"RPS6KA1.12329.21.3",1
"EEF2K.12332.7.3",1
"RPIA.12333.87.3",1
"SHMT1.12334.25.3",0
"EGFLAM.12338.27.3",2
"AARS1.12340.17.3",1
"DUSP6.12341.8.3",1
"ACAP2.12343.14.3",1
"ANAPC10.12345.4.3",1
"CCM2.12347.29.3",1
"SARS2.12348.46.3",1
"ETS2.12350.86.3",1
"ARRDC3.12352.70.3",0
